website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
www.al-seyassah.com	3	5.26300%	0	0%	54	94.73600%	0	0%	
www.al-sharq.com	35574	40.02900%	1729	1.94500%	50076	56.34700%	1491	1.67700%	Qatar 
www.al-tabeer.com	25	41.66600%	7	11.66600%	21	35.00000%	7	11.66600%	
www.al-tagheer.com	44010	67.22300%	4909	7.49800%	13759	21.01600%	2790	4.26100%	Yemen 
www.al-tahdeeth.com	154	47.38400%	23	7.07600%	110	33.84600%	38	11.69200%	
www.al-teef.com	65	63.10600%	3	2.91200%	28	27.18400%	7	6.79600%	Yemen 
www.al-vefagh.com	8	16.66600%	1	2.08300%	36	75.00000%	3	6.25000%	
www.al-waie.org	2852	46.29800%	182	2.95400%	2992	48.57100%	134	2.17500%	Lebanon 
www.al-watania.com	4	36.36300%	0	0%	7	63.63600%	0	0%	
www.al-yaqeen.net	32	47.05800%	5	7.35200%	27	39.70500%	4	5.88200%	
www.al-yemeni.com	0	0%	0	0%	27	96.42800%	1	3.57100%	
www.al3nood.com	13	33.33300%	0	0%	16	41.02500%	10	25.64100%	
www.al3qarat.com	1	4.54500%	2	9.09000%	17	77.27200%	2	9.09000%	
www.alaalem.com	20	25.64100%	5	6.41000%	39	50.00000%	14	17.94800%	
www.alaan.cc	11620	62.56700%	938	5.05000%	4707	25.34400%	1307	7.03700%	Kuwait 
www.aladhwaa.net	501	62.86000%	63	7.90400%	209	26.22300%	24	3.01100%	
www.alafkar.net	26	59.09000%	2	4.54500%	14	31.81800%	2	4.54500%	
www.alahramsd.com	36	34.28500%	7	6.66600%	58	55.23800%	4	3.80900%	
www.alalam.ir	48	31.37200%	16	10.45700%	70	45.75100%	19	12.41800%	
www.alalam.ma	3383	11.74900%	279	.96900%	24821	86.20700%	309	1.07300%	Morocco 
www.alaloosh.jeeran.com	5	41.66600%	1	8.33300%	5	41.66600%	1	8.33300%	
www.alamalmag.com	0	0%	1	6.25000%	15	93.75000%	0	0%	
www.alamalyawm.com	119557	65.87300%	7918	4.36200%	46544	25.64400%	7477	4.11900%	Kuwait 
www.alanba.com.kw	8000	19.70200%	2589	6.37600%	18444	45.42500%	11570	28.49500%	Kuwait 
www.alanwar.com	50	52.63100%	3	3.15700%	32	33.68400%	10	10.52600%	Lebanon 
www.alaqari.com	5	13.88800%	0	0%	30	83.33300%	1	2.77700%	
www.alarab.qa	42	42.00000%	5	5.00000%	38	38.00000%	15	15.00000%	
www.alarabalyawm.net	48	42.85700%	8	7.14200%	45	40.17800%	11	9.82100%	
www.alarabico.com	0	0%	0	0%	2	100.00000%	0	0%	
www.alarabimag.com	3	75.00000%	0	0%	1	25.00000%	0	0%	
www.alarabiya.net	232	54.07900%	55	12.82000%	120	27.97200%	22	5.12800%	
www.alarabonline.org	74	42.52800%	18	10.34400%	62	35.63200%	20	11.49400%	
www.alayam.com	63	39.87300%	10	6.32900%	73	46.20200%	12	7.59400%	
www.alazhar.edu.ps	1	100.00000%	0	0%	0	0%	0	0%	
www.alazraq.com	45	42.85700%	2	1.90400%	51	48.57100%	7	6.66600%	
www.albaath.news.sy	470	64.91700%	42	5.80100%	164	22.65100%	48	6.62900%	Syria 
www.albadeal.com	18992	48.03400%	1882	4.75900%	16766	42.40400%	1898	4.80000%	Iraq 
www.albadil.org	41997	72.25200%	2417	4.15800%	11621	19.99300%	2090	3.59500%	Tunisia 
www.albaidanews.com	9155	58.15200%	1264	8.02800%	4547	28.88200%	777	4.93500%	
www.albaidaonline.com	44	48.88800%	11	12.22200%	29	32.22200%	6	6.66600%	
www.albaladonline.com	3713	63.86300%	284	4.88400%	1257	21.62000%	560	9.63100%	Syria 
www.albanian.com	4	10.81000%	0	0%	29	78.37800%	4	10.81000%	
www.albanner.net	0	0%	0	0%	4	100.00000%	0	0%	
www.albayanlebanon.com	176	73.33300%	8	3.33300%	44	18.33300%	12	5.00000%	Lebanon 
www.albidapress.net	7379	65.03600%	950	8.37200%	2643	23.29400%	374	3.29600%	
www.albidaweb.com	33	40.74000%	10	12.34500%	34	41.97500%	4	4.93800%	
www.albiladdaily.net	16805	56.80000%	2010	6.79300%	8911	30.11800%	1860	6.28600%	Saudi Arabia 
www.albishe10.com	22	21.78200%	5	4.95000%	70	69.30600%	4	3.96000%	
www.alchourouk.com	2495	61.89500%	206	5.11000%	1125	27.90800%	205	5.08500%	Tunisia 
www.aldaar.com	38	4.72600%	0	0%	758	94.27800%	8	.99500%	Palestine 
www.aldalil.org	34	53.96800%	8	12.69800%	16	25.39600%	5	7.93600%	
www.aldaronline.com	3907	29.91300%	282	2.15900%	8300	63.54700%	572	4.37900%	Kuwait 
www.aldiyaronline.com	35009	80.33600%	2099	4.81600%	5241	12.02600%	1229	2.82000%	Lebanon 
www.alefyaa.com	91	41.55200%	17	7.76200%	96	43.83500%	15	6.84900%	Iraq 
www.aleqt.com	365546	49.79700%	24842	3.38400%	264392	36.01700%	79282	10.80000%	Saudi Arabia 
www.aleradah.org	19	38.00000%	7	14.00000%	21	42.00000%	3	6.00000%	
www.aleshteraki.net	11114	63.71200%	1127	6.46000%	3595	20.60800%	1608	9.21800%	
www.alestethmar.net	85	45.69800%	8	4.30100%	70	37.63400%	23	12.36500%	
www.alettejah.net	88	42.30700%	13	6.25000%	88	42.30700%	19	9.13400%	
www.alfaisaliah.com	4	44.44400%	0	0%	5	55.55500%	0	0%	
www.alfawanis.com	1	100.00000%	0	0%	0	0%	0	0%	
www.alfehres.com	3	15.00000%	0	0%	16	80.00000%	1	5.00000%	
www.alfnanalawl.jeeran.com	1	7.69200%	2	15.38400%	9	69.23000%	1	7.69200%	
www.alganob.net	9689	73.73600%	642	4.88500%	2344	17.83800%	465	3.53800%	
www.algeriapressonline.com	61	50.83300%	19	15.83300%	31	25.83300%	9	7.50000%	
www.alghad.com	46	38.98300%	4	3.38900%	52	44.06700%	16	13.55900%	
www.alghadyem.net	70	63.06300%	11	9.90900%	26	23.42300%	4	3.60300%	
www.algomhoriah.net	10480	75.07100%	680	4.87100%	2240	16.04500%	560	4.01100%	
www.algomhuria.net.eg	18	35.29400%	13	25.49000%	15	29.41100%	5	9.80300%	
www.alhadara.com	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.alhadath-yemen.com	10316	70.58900%	1190	8.14200%	2547	17.42800%	561	3.83800%	
www.alhayat-j.com	239	3.96100%	11	.18200%	5756	95.40800%	27	.44700%	Palestine 
www.alhekma.com	0	0%	0	0%	1	100.00000%	0	0%	
www.alhewar-alwatni.net	9	42.85700%	1	4.76100%	10	47.61900%	1	4.76100%	
www.alhoriah.com	62	42.17600%	6	4.08100%	58	39.45500%	21	14.28500%	
www.alhourriah.org	80	52.98000%	10	6.62200%	50	33.11200%	11	7.28400%	
www.alhurra.com	27	46.55100%	3	5.17200%	21	36.20600%	7	12.06800%	
www.ali.com	3	37.50000%	0	0%	5	62.50000%	0	0%	
www.aliaeg.com	8	27.58600%	2	6.89600%	17	58.62000%	2	6.89600%	
www.aliraqis.com	31	42.46500%	7	9.58900%	27	36.98600%	8	10.95800%	
www.alitthad.com	58	52.72700%	10	9.09000%	32	29.09000%	10	9.09000%	
www.alittihad.ae	37	30.32700%	7	5.73700%	66	54.09800%	12	9.83600%	
www.alittihad.press.ma	7023	74.49000%	417	4.42200%	1605	17.02300%	383	4.06200%	Morocco 
www.aliwaa.com	1917	67.09800%	100	3.50000%	735	25.72600%	105	3.67500%	Lebanon 
www.alj.com	0	0%	0	0%	4	100.00000%	0	0%	
www.aljamaa.net	164129	80.08800%	6841	3.33800%	28292	13.80500%	5672	2.76700%	Morocco 
www.aljazeera.net	3524	71.40800%	343	6.95000%	938	19.00700%	130	2.63400%	
www.aljazeerasport.net	28	66.66600%	0	0%	10	23.80900%	4	9.52300%	
www.aljoumhouria.com	5385	84.66900%	106	1.66600%	642	10.09400%	227	3.56900%	Lebanon 
www.aljumhor.net	10538	71.69100%	964	6.55800%	2527	17.19100%	670	4.55800%	
www.alkadhum.org	1097383	71.98500%	69072	4.53000%	303398	19.90100%	54607	3.58200%	Iraq 
www.alkal3a.com	28060	63.65600%	2108	4.78200%	10989	24.92900%	2923	6.63100%	Iraq 
www.alkalimaonline.com	845	61.72300%	92	6.72000%	317	23.15500%	115	8.40000%	Lebanon 
www.alkandary.com	3	75.00000%	0	0%	1	25.00000%	0	0%	
www.alkarameh.com	12	54.54500%	3	13.63600%	6	27.27200%	1	4.54500%	
www.alkarmel.org	0	0%	0	0%	1	100.00000%	0	0%	
www.alkasr.com	0	0%	1	100.00000%	0	0%	0	0%	
www.alkhabar.ma	228308	73.02900%	21771	6.96300%	47204	15.09900%	15340	4.90600%	Morocco 
www.alkhaleej.ae	272	5.81300%	7	.14900%	4304	91.98500%	96	2.05100%	United Arab Emirates 
www.all-patch.org	118	58.70600%	11	5.47200%	61	30.34800%	11	5.47200%	
www.all4all.net	1	6.66600%	1	6.66600%	13	86.66600%	0	0%	
www.allofjo.net	61	50.83300%	4	3.33300%	36	30.00000%	19	15.83300%	
www.almaafrpress.net	48	46.60100%	8	7.76600%	34	33.00900%	13	12.62100%	
www.almadinapress.com	1	.75700%	1	.75700%	129	97.72700%	1	.75700%	
www.almaghribia.ma	50	70.42200%	2	2.81600%	12	16.90100%	7	9.85900%	
www.almajedy.com	1	2.77700%	0	0%	34	94.44400%	1	2.77700%	
www.almaktabah.com	8	21.62100%	2	5.40500%	24	64.86400%	3	8.10800%	
www.almaktba.com	22	48.88800%	3	6.66600%	19	42.22200%	1	2.22200%	
www.almanar.com.lb	18231	56.14800%	2790	8.59200%	8469	26.08300%	2979	9.17400%	Lebanon 
www.almannarah.com	37967	10.76000%	1715	.48600%	310891	88.11100%	2267	.64200%	Iraq 
www.almarah.8k.com	3	50.00000%	0	0%	3	50.00000%	0	0%	
www.almarai.com	1	33.33300%	0	0%	2	66.66600%	0	0%	
www.almarkazia.net	8	3.88300%	0	0%	198	96.11600%	0	0%	Lebanon 
www.almarsd.net	18	41.86000%	0	0%	23	53.48800%	2	4.65100%	
www.almasry-alyoum.com	10	.76800%	0	0%	1291	99.15500%	1	.07600%	Egypt 
www.almasryalyoum.com	1	100.00000%	0	0%	0	0%	0	0%	Egypt 
www.almassae.press.ma	47	31.75600%	16	10.81000%	77	52.02700%	8	5.40500%	Morocco 
www.almassira.com	157	48.15900%	29	8.89500%	124	38.03600%	16	4.90700%	Lebanon 
www.almedan.net	28	42.42400%	5	7.57500%	30	45.45400%	3	4.54500%	
www.almelehi.com	1	3.22500%	0	0%	30	96.77400%	0	0%	
www.almelta3.com	3	100.00000%	0	0%	0	0%	0	0%	
www.almerrikh.com	34	37.36200%	12	13.18600%	35	38.46100%	10	10.98900%	
www.almersad.net	48	38.70900%	17	13.70900%	53	42.74100%	6	4.83800%	
www.almesryoon.com	4894	51.03200%	2344	24.44200%	1253	13.06500%	1099	11.45900%	Egypt 
www.almethaq.net	12049	72.05900%	1011	6.04600%	3204	19.16100%	457	2.73300%	
www.almnahel.8m.com	0	0%	0	0%	8	88.88800%	1	11.11100%	
www.almoharrer.net	132	17.50600%	5	.66300%	613	81.29900%	4	.53000%	Lebanon 
www.almokhtsar.com	122	55.96300%	15	6.88000%	62	28.44000%	19	8.71500%	Saudi Arabia 
www.almotamar.net	358181	75.57800%	36376	7.67500%	59630	12.58200%	19730	4.16300%	Yemen 
www.almountakhab.com	37	26.42800%	10	7.14200%	81	57.85700%	12	8.57100%	Morocco 
www.almubtaker.com	40	25.97400%	6	3.89600%	88	57.14200%	20	12.98700%	
www.almultaka.com.sa	0	0%	0	0%	2	100.00000%	0	0%	
www.almustaqbal.com	30	37.03700%	4	4.93800%	38	46.91300%	9	11.11100%	
www.alnadwah.com.sa	23	41.81800%	0	0%	27	49.09000%	5	9.09000%	Saudi Arabia 
www.alnafeznews.com	60	52.63100%	7	6.14000%	32	28.07000%	15	13.15700%	Lebanon 
www.alnaief.com	0	0%	0	0%	13	100.00000%	0	0%	
www.alnaqed.net	58	49.15200%	13	11.01600%	36	30.50800%	11	9.32200%	
www.alnashernews.com	7248	65.14400%	804	7.22600%	2588	23.26000%	486	4.36800%	
www.alnedaa.net	48	39.02400%	12	9.75600%	55	44.71500%	8	6.50400%	
www.alnilin.com	52317	48.21800%	13723	12.64700%	34544	31.83700%	7916	7.29500%	Egypt 
www.alnwady.com	45	47.87200%	4	4.25500%	33	35.10600%	12	12.76500%	
www.alqabas.com.kw	21640	1.74800%	567	.04500%	1202136	97.14400%	13129	1.06000%	Kuwait 
www.alqadisiyahuniv.com	0	0%	0	0%	39	100.00000%	0	0%	
www.alqanat.com	37	50.00000%	6	8.10800%	23	31.08100%	8	10.81000%	
www.alqanatnews.com	2	40.00000%	0	0%	3	60.00000%	0	0%	
www.alquds.co.uk	47	47.47400%	17	17.17100%	28	28.28200%	7	7.07000%	
www.alquds.com	102	47.44100%	19	8.83700%	74	34.41800%	20	9.30200%	
www.alqudscenter.org	16	59.25900%	1	3.70300%	8	29.62900%	2	7.40700%	
www.alrabih.com.lb	0	0%	0	0%	4	80.00000%	1	20.00000%	
www.alraed-sd.com	58	30.05100%	17	8.80800%	103	53.36700%	15	7.77200%	
www.alraed.com	30	34.09000%	3	3.40900%	45	51.13600%	10	11.36300%	
www.alrafidayn.com	58730	49.03200%	2957	2.46800%	52693	43.99200%	5398	4.50600%	Iraq 
www.alrai.com	94	53.10700%	15	8.47400%	48	27.11800%	20	11.29900%	
www.alraimedia.com	5815	1.61100%	149	.04100%	353212	97.89700%	1623	.44900%	Kuwait 
www.alrajhitakaful.com	9	20.45400%	1	2.27200%	32	72.72700%	2	4.54500%	
www.alrashad.org	13	48.14800%	2	7.40700%	11	40.74000%	1	3.70300%	
www.alrashidmall.com	1	4.34700%	0	0%	21	91.30400%	1	4.34700%	
www.alrassedonline.com	101331	79.10500%	10008	7.81200%	13325	10.40200%	3432	2.67900%	Lebanon 
www.alriyadh.com	8941	28.12400%	1639	5.15500%	18147	57.08200%	3064	9.63700%	
www.alriyadh1.com	16	13.44500%	4	3.36100%	96	80.67200%	3	2.52100%	
www.alrodh.com	0	0%	0	0%	0	0%	1	100.00000%	
www.alryada.net	145	45.74100%	36	11.35600%	113	35.64600%	23	7.25500%	
www.alsabaah.com	2609	35.17100%	119	1.60400%	4531	61.08100%	159	2.14300%	Iraq 
www.alsabahpress.com	78	25.65700%	17	5.59200%	175	57.56500%	34	11.18400%	Kuwait 
www.alsafi-danone.com	0	0%	0	0%	4	100.00000%	0	0%	
www.alsaha.com	27	32.14200%	5	5.95200%	43	51.19000%	9	10.71400%	
www.alsahafa.sd	34	33.66300%	12	11.88100%	48	47.52400%	7	6.93000%	
www.alsaheefa.8k.com	11	39.28500%	2	7.14200%	12	42.85700%	3	10.71400%	
www.alsahwa-yemen.net	457	68.82500%	56	8.43300%	135	20.33100%	16	2.40900%	
www.alsakher.com	30	28.03700%	8	7.47600%	62	57.94300%	7	6.54200%	
www.alsaudiaonline.com	0	0%	0	0%	2	100.00000%	0	0%	
www.alsh3r.com	23	23.00000%	10	10.00000%	63	63.00000%	4	4.00000%	
www.alshafai.com	0	0%	0	0%	1	100.00000%	0	0%	
www.alshahedkw.com	0	0%	0	0%	51	98.07600%	1	1.92300%	Kuwait 
www.alshamsi.net	2	50.00000%	0	0%	2	50.00000%	0	0%	
www.alshariaa.com	31	40.78900%	13	17.10500%	9	11.84200%	23	30.26300%	
www.alsharkalawsat.com	0	0%	0	0%	1	100.00000%	0	0%	
www.alsharqiyatv.com	6	54.54500%	2	18.18100%	2	18.18100%	1	9.09000%	
www.alshiraa.com	12	70.58800%	1	5.88200%	4	23.52900%	0	0%	Lebanon 
www.alshitaiwitours.com	0	0%	0	0%	3	100.00000%	0	0%	
www.alshlhoob.8m.com	0	0%	0	0%	0	0%	1	100.00000%	
www.alshomoa.net	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.alsudani.sd	46	40.35000%	11	9.64900%	48	42.10500%	9	7.89400%	
www.alt6folah.com	0	0%	0	0%	3	100.00000%	0	0%	
www.altaif.org	23	28.39500%	2	2.46900%	48	59.25900%	8	9.87600%	
www.altajdednews.com	2	1.70900%	1	.85400%	112	95.72600%	2	1.70900%	
www.altarab.com	2	9.09000%	1	4.54500%	16	72.72700%	3	13.63600%	
www.althawranew.net	49	44.95400%	28	25.68800%	25	22.93500%	7	6.42200%	
www.althawry.org	1	25.00000%	1	25.00000%	2	50.00000%	0	0%	
www.altshkeely.com	48	26.66600%	8	4.44400%	112	62.22200%	12	6.66600%	
www.altwafoq.net	249955	69.19400%	14387	3.98200%	83022	22.98200%	13870	3.83900%	Saudi Arabia 
www.alwafd.org	130	31.78400%	80	19.55900%	175	42.78700%	24	5.86700%	
www.alwahdawi.net	2310	66.00000%	253	7.22800%	686	19.60000%	251	7.17100%	
www.alwaqt.com	28	31.81800%	5	5.68100%	47	53.40900%	8	9.09000%	
www.alwasat-ye.net	24	43.63600%	5	9.09000%	24	43.63600%	2	3.63600%	
www.alwasat.com.kw	65	19.40200%	14	4.17900%	245	73.13400%	11	3.28300%	Kuwait 
www.alwasluae.com	20	28.57100%	3	4.28500%	40	57.14200%	7	10.00000%	
www.alwasta.com	3	3.26000%	1	1.08600%	82	89.13000%	6	6.52100%	
www.alwatan.com	28	51.85100%	1	1.85100%	21	38.88800%	4	7.40700%	
www.alwatan.com.sa	5974	45.57800%	296	2.25800%	6030	46.00500%	807	6.15700%	
www.alwatan.sy	1695	64.69400%	128	4.88500%	624	23.81600%	173	6.60300%	Syria 
www.alwatanalarabi.com	11340	61.44600%	3082	16.70000%	3251	17.61500%	782	4.23700%	Lebanon 
www.alwatanews.net	37	50.68400%	12	16.43800%	21	28.76700%	3	4.10900%	
www.alwatannews.net	7	3.84600%	1	.54900%	170	93.40600%	4	2.19700%	
www.alwatanpress.com	0	0%	0	0%	1	100.00000%	0	0%	
www.alwatansudan.com	12	33.33300%	7	19.44400%	17	47.22200%	0	0%	
www.alwatanvoice.com	57	37.74800%	15	9.93300%	58	38.41000%	21	13.90700%	
www.alwatanye.net	10376	81.61700%	608	4.78200%	1388	10.91700%	341	2.68200%	
www.alweeam.com	74	41.57300%	12	6.74100%	80	44.94300%	12	6.74100%	
www.alyaum.com	126126	42.59600%	14231	4.80600%	116786	39.44200%	38951	13.15400%	Saudi Arabia 
www.alyousufi.com	29	28.15500%	2	1.94100%	66	64.07700%	6	5.82500%	
www.alzawag.com	2	50.00000%	0	0%	0	0%	2	50.00000%	
www.alzikan.net	0	0%	0	0%	2	100.00000%	0	0%	
www.alziyad.com	49	39.20000%	6	4.80000%	63	50.40000%	7	5.60000%	
www.am-food.com	0	0%	0	0%	5	100.00000%	0	0%	
www.amacol.com	0	0%	0	0%	1	100.00000%	0	0%	
www.amanjordan.org	87	57.61500%	6	3.97300%	40	26.49000%	18	11.92000%	
www.amcham.org.eg	7	36.84200%	0	0%	12	63.15700%	0	0%	
www.ameenrihani.org	2	8.00000%	0	0%	22	88.00000%	1	4.00000%	
www.amouagecosmetics.com	0	0%	0	0%	1	100.00000%	0	0%	
www.amwague.net	0	0%	0	0%	3	100.00000%	0	0%	
www.anaween.com	2	1.98000%	0	0%	98	97.02900%	1	.99000%	
www.anb.com.sa	2	25.00000%	0	0%	6	75.00000%	0	0%	
www.angelfire.com	1	14.28500%	0	0%	4	57.14200%	2	28.57100%	
www.annahar.com	461	52.14900%	53	5.99500%	319	36.08500%	51	5.76900%	Lebanon 
www.annaharkw.com	16606	3.81600%	885	.20300%	414940	95.36900%	2657	.61000%	Kuwait 
www.annaharpress.net	53	38.40500%	9	6.52100%	59	42.75300%	17	12.31800%	
www.annoukhba.com	822	57.28200%	41	2.85700%	486	33.86700%	86	5.99300%	Morocco 
www.ansa.it	18	8.25600%	3	1.37600%	185	84.86200%	12	5.50400%	
www.ap.org	1	20.00000%	0	0%	4	80.00000%	0	0%	
www.aps.dz	19835	34.20000%	2226	3.83800%	34620	59.69200%	1316	2.26900%	Algeria 
www.aqaba.jo	0	0%	0	0%	12	100.00000%	0	0%	
www.aqard.com	1	6.66600%	0	0%	14	93.33300%	0	0%	
www.aqareh.com	18	23.37600%	5	6.49300%	52	67.53200%	2	2.59700%	
www.aqlaam.net	4	57.14200%	1	14.28500%	2	28.57100%	0	0%	
www.aqsaa.com	36	39.56000%	8	8.79100%	43	47.25200%	4	4.39500%	
www.arab-book.com	55	46.21800%	4	3.36100%	51	42.85700%	9	7.56300%	
www.arabbeat.com	13	20.00000%	4	6.15300%	44	67.69200%	4	6.15300%	
www.arabchamber.org	3	13.04300%	0	0%	20	86.95600%	0	0%	
www.arabdl.net	0	0%	0	0%	1	100.00000%	0	0%	
www.arabfamilyorganization.ae	33	61.11100%	5	9.25900%	12	22.22200%	4	7.40700%	
www.arabhr.com	43	34.67700%	4	3.22500%	68	54.83800%	9	7.25800%	
www.arabia.msn.com	2	6.66600%	0	0%	28	93.33300%	0	0%	
www.arabian-child.net	2	33.33300%	2	33.33300%	2	33.33300%	0	0%	
www.arabianbusiness.com	28	21.87500%	2	1.56200%	94	73.43700%	4	3.12500%	
www.arabiantheater.com	1	6.66600%	0	0%	12	80.00000%	2	13.33300%	
www.arabicebook.com	0	0%	0	0%	119	96.74700%	4	3.25200%	
www.arabicjoke.com	2	22.22200%	0	0%	5	55.55500%	2	22.22200%	
www.arabiclub.net	62	48.06200%	11	8.52700%	45	34.88300%	11	8.52700%	
www.arabicnews.com	4	22.22200%	0	0%	11	61.11100%	3	16.66600%	
www.arabicpoems.com	16	33.33300%	10	20.83300%	20	41.66600%	2	4.16600%	
www.arabictc.com	1	12.50000%	0	0%	5	62.50000%	2	25.00000%	
www.arabies.com	2	5.55500%	0	0%	33	91.66600%	1	2.77700%	
www.arabiyat.com	62	39.74300%	16	10.25600%	72	46.15300%	6	3.84600%	
www.arabjo.net	84	47.45700%	22	12.42900%	43	24.29300%	28	15.81900%	
www.arabnet5.com	20226	30.35300%	11828	17.75000%	24527	36.80700%	10054	15.08800%	Egypt 
www.arabnews.net	60	55.04500%	9	8.25600%	35	32.11000%	5	4.58700%	
www.arabscientist.org	9	17.64700%	1	1.96000%	39	76.47000%	2	3.92100%	
www.arabsgate.com	3	23.07600%	1	7.69200%	9	69.23000%	0	0%	
www.arabspc.net	53	31.92700%	7	4.21600%	97	58.43300%	9	5.42100%	
www.arabstockinfo.com	27	32.92600%	2	2.43900%	46	56.09700%	7	8.53600%	
www.arabtok.com	0	0%	0	0%	12	100.00000%	0	0%	
www.arabtrans.com	1	3.12500%	0	0%	30	93.75000%	1	3.12500%	
www.arabukraine.com	2	13.33300%	1	6.66600%	12	80.00000%	0	0%	
www.araburban.org	3	1.21400%	1	.40400%	243	98.38000%	0	0%	
www.arabworldbooks.com	6	18.18100%	3	9.09000%	21	63.63600%	3	9.09000%	
www.aramco.com	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.areionline.com	1	14.28500%	0	0%	5	71.42800%	1	14.28500%	
www.argaam.com	64	22.14500%	7	2.42200%	202	69.89600%	16	5.53600%	
www.argentour.com	0	0%	0	0%	1	100.00000%	0	0%	
www.arrai3.net	60	40.81600%	22	14.96500%	54	36.73400%	11	7.48200%	
www.arreyadi.com.sa	0	0%	0	0%	0	0%	1	100.00000%	
www.arriy.com	25	32.05100%	2	2.56400%	44	56.41000%	7	8.97400%	
www.arriyadh.com	2833	14.82700%	210	1.09900%	15620	81.75000%	444	2.32300%	Saudi Arabia 
www.arruiacenter.net	0	0%	0	0%	38	100.00000%	0	0%	
www.art-chocolate.com	1	100.00000%	0	0%	0	0%	0	0%	
www.artigua.com	0	0%	0	0%	6	85.71400%	1	14.28500%	
www.artonline.tv	0	0%	0	0%	30	96.77400%	1	3.22500%	
www.aryam.net	49	23.00400%	9	4.22500%	143	67.13600%	12	5.63300%	
www.as-safirpress.com	2988	72.52400%	430	10.43600%	552	13.39800%	150	3.64000%	
www.asdaaalwatan.net	55458	80.67300%	3598	5.23300%	7044	10.24600%	2644	3.84600%	Syria 
www.asdubai.org	0	0%	0	0%	8	100.00000%	0	0%	
www.ashorooq.net	19	36.53800%	4	7.69200%	26	50.00000%	3	5.76900%	
www.asp.com.lb	0	0%	0	0%	18	100.00000%	0	0%	
www.asrar.org	1	7.69200%	0	0%	12	92.30700%	0	0%	
www.asrarpress.net	3475	70.86000%	287	5.85200%	845	17.23000%	297	6.05600%	
www.assabah.press.ma	53	58.88800%	3	3.33300%	33	36.66600%	1	1.11100%	
www.assafir-press.com	735	79.89100%	53	5.76000%	103	11.19500%	29	3.15200%	
www.assafir.com	28615	61.59500%	2571	5.53400%	12442	26.78200%	2828	6.08700%	Lebanon 
www.assielhallani.8m.net	0	0%	0	0%	1	100.00000%	0	0%	
www.aswat-elchamal.com	98	34.02700%	26	9.02700%	155	53.81900%	9	3.12500%	
www.atb.com.tn	1	4.54500%	1	4.54500%	20	90.90900%	0	0%	
www.athab.com	13	38.23500%	1	2.94100%	19	55.88200%	1	2.94100%	
www.athoob.com	1	20.00000%	0	0%	4	80.00000%	0	0%	
www.atlas-tours.com	1	100.00000%	0	0%	0	0%	0	0%	
www.atlassport.ps	45	48.91300%	14	15.21700%	23	25.00000%	10	10.86900%	
www.attajdid.info	1566	69.01700%	182	8.02100%	419	18.46600%	102	4.49500%	Morocco 
www.attakwa.net	88	56.77400%	9	5.80600%	48	30.96700%	10	6.45100%	Lebanon 
www.attamaddon.com	44	9.38100%	2	.42600%	417	88.91200%	6	1.27900%	Lebanon 
www.attariq-ye.com	0	0%	0	0%	1	100.00000%	0	0%	
www.attyab.com	30	25.86200%	7	6.03400%	75	64.65500%	4	3.44800%	
www.aui.ma	9	9.47300%	0	0%	86	90.52600%	0	0%	
www.aul.edu	1	50.00000%	0	0%	1	50.00000%	0	0%	
www.aus.edu	3	30.00000%	0	0%	7	70.00000%	0	0%	
www.austarab.com.au	2	10.52600%	0	0%	14	73.68400%	3	15.78900%	
www.austoora.com	1	4.54500%	0	0%	21	95.45400%	0	0%	
www.autoeurope.com	2	6.89600%	0	0%	27	93.10300%	0	0%	
www.awamia.com	0	0%	0	0%	1	100.00000%	0	0%	
www.awasir.com	44	41.12100%	5	4.67200%	49	45.79400%	9	8.41100%	
www.awene.com	742	15.25800%	20	.41100%	4088	84.06300%	13	.26700%	Iraq 
www.ayam-mag.com	8	19.51200%	6	14.63400%	22	53.65800%	5	12.19500%	
www.ayna.com	35	57.37700%	1	1.63900%	20	32.78600%	5	8.19600%	
www.aynazawgaty.com	14	29.16600%	0	0%	30	62.50000%	4	8.33300%	
www.aziaa.com	0	0%	0	0%	5	100.00000%	0	0%	
www.azzaman.com	13240	2.69000%	893	.18100%	476570	96.82700%	1481	.30000%	Iraq 
www.azzamn.org	51	9.96000%	1	.19500%	452	88.28100%	8	1.56200%	Oman 
www.bab.com	0	%	0	%	0	%	0	%	Saudi Arabia 
www.babybag.com	9	26.47000%	1	2.94100%	23	67.64700%	1	2.94100%	
www.babyworld.co.uk	3	16.66600%	0	0%	15	83.33300%	0	0%	
www.baesystems.com	3	37.50000%	0	0%	4	50.00000%	1	12.50000%	
www.bahartsociety.org.bh	3	42.85700%	0	0%	4	57.14200%	0	0%	
www.bahraincustoms.gov.bh	2	14.28500%	0	0%	12	85.71400%	0	0%	
www.bahrainforums.com	29	18.01200%	12	7.45300%	110	68.32200%	10	6.21100%	
www.bahth.com	19	33.33300%	0	0%	34	59.64900%	4	7.01700%	
www.bakeel.net	37	47.43500%	4	5.12800%	32	41.02500%	5	6.41000%	
www.balaika.com	0	0%	0	0%	1	100.00000%	0	0%	
www.bankalbilad.com	12	26.66600%	0	0%	32	71.11100%	1	2.22200%	
