website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
bnile.tv	0	0%	1	100.00000%	0	0%	0	0%	
brokensoft.com	2	4.65100%	0	0%	41	95.34800%	0	0%	
camecenter.com	43	68.25300%	5	7.93600%	13	20.63400%	2	3.17400%	
chat.alshellah.com	3	33.33300%	0	0%	5	55.55500%	1	11.11100%	
chat.yahoo.com	0	0%	0	0%	5	100.00000%	0	0%	
childcare.net	0	0%	1	16.66600%	5	83.33300%	0	0%	
damtpress.com	2	50.00000%	0	0%	1	25.00000%	1	25.00000%	
daralhayat.com	25	45.45400%	3	5.45400%	23	41.81800%	4	7.27200%	Iraq 
delphi.com	3	11.11100%	1	3.70300%	23	85.18500%	0	0%	
desip.igc.org	2	6.66600%	0	0%	27	90.00000%	1	3.33300%	
dictionary.pspinc.com	1	14.28500%	0	0%	6	85.71400%	0	0%	
dictionary.reference.com	2	10.52600%	0	0%	16	84.21000%	1	5.26300%	
e-amana.gov.sa	29	37.17900%	1	1.28200%	40	51.28200%	8	10.25600%	
ecards.fares.net	2	16.66600%	0	0%	10	83.33300%	0	0%	
ece.uwaterloo.ca	1	6.25000%	0	0%	9	56.25000%	6	37.50000%	
edmss.net	0	0%	0	0%	7	87.50000%	1	12.50000%	
elakhbar.akhbarway.com	31814	32.70500%	38214	39.28400%	18438	18.95400%	8809	9.05500%	Egypt 
en-maktoob.yahoo.com	8	20.00000%	0	0%	29	72.50000%	3	7.50000%	
en.elmarada.org	15917	67.61300%	1608	6.83000%	4704	19.98200%	1312	5.57300%	Lebanon 
etjahat.net	49	31.21000%	18	11.46400%	74	47.13300%	16	10.19100%	
eurosport.anayou.com	183	35.88200%	31	6.07800%	239	46.86200%	57	11.17600%	
everything.yahoo.com	0	0%	0	0%	3	100.00000%	0	0%	
exmail.alanba.com.kw	0	0%	0	0%	4	100.00000%	0	0%	
fileservesearch.info	0	0%	1	33.33300%	2	66.66600%	0	0%	
forum.ahlynews.com	134	57.51000%	27	11.58700%	53	22.74600%	19	8.15400%	
forum.aljayyash.net	84	66.66600%	4	3.17400%	30	23.80900%	8	6.34900%	
forum.arb-woman.com	66	22.60200%	20	6.84900%	165	56.50600%	41	14.04100%	
forum.tayyar.org	4	9.09000%	2	4.54500%	38	86.36300%	0	0%	
forums.al3almi.net	39	48.14800%	0	0%	33	40.74000%	9	11.11100%	
fpnp.net	64	40.76400%	12	7.64300%	63	40.12700%	18	11.46400%	
freemans.50megs.com	0	0%	0	0%	3	100.00000%	0	0%	
ftat.8m.com	5	45.45400%	0	0%	6	54.54500%	0	0%	
fteha.jeeran.com	23	46.00000%	11	22.00000%	15	30.00000%	1	2.00000%	
furatnews.com	52	42.62200%	6	4.91800%	59	48.36000%	5	4.09800%	Iraq 
